genus,species,accession
Mycobacterium,ahvazicum,GCF_900176255.2
Mycobacterium,alsense,GCF_002086635.1
Mycobacterium,angelicum,GCF_002086155.1
Mycobacterium,aquaticum,GCF_002086485.1
Mycobacterium,arosiense,GCF_002086125.1
Mycobacterium,asiaticum,GCF_000613245.1
Mycobacterium,attenuatum,GCF_900566085.1
Mycobacterium,avium,GCF_000007865.1
Mycobacterium,basiliense,GCF_900292015.1
Mycobacterium,bohemicum,GCF_001053185.1
Mycobacterium,bouchedurhonense,GCF_002086165.1
Mycobacterium,branderi,GCF_002086575.1
Mycobacterium,canettii,GCF_000253375.1
Mycobacterium,celatum,GCF_002101595.1
Mycobacterium,chimaera,GCF_002219285.1
Mycobacterium,colombiense,GCF_002105755.1
Mycobacterium,conspcuum,GCF_002102095.1
Mycobacterium,decipiens,GCF_002104675.1
Mycobacterium,dioxanotrophicus,GCF_002157835.1
Mycobacterium,eburneum,GCF_004354905.1
Mycobacterium,europaeum,GCF_001373515.1
Mycobacterium,florentinum,GCF_002101635.1
Mycobacterium,fragae,GCF_002102185.1
Mycobacterium,gastri,GCF_002102175.1
Mycobacterium,genavense,GCF_000526915.1
Mycobacterium,gordonae,GCF_002101675.1
Mycobacterium,grossiae,GCF_008329645.1
Mycobacterium,haemophilum,GCF_000340435.2
Mycobacterium,heckeshornense,GCF_001881585.2
Mycobacterium,heidelbergense,GCF_002086215.1
Mycobacterium,innocens,GCF_900566055.1
Mycobacterium,interjectum,GCF_900078675.2
Mycobacterium,intermedium,GCF_002086275.1
Mycobacterium,intracellulare,GCF_000277125.1
Mycobacterium,kansasii,GCF_000157895.3
Mycobacterium,kubicae,GCF_002101745.1
Mycobacterium,kyorinense,GCF_000759695.1
Mycobacterium,lacus,GCF_002102215.1
Mycobacterium,lehmannii,GCF_002245535.1
Mycobacterium,lentiflavum,GCF_001373395.1
Mycobacterium,leprae,GCF_000195855.1
Mycobacterium,lepraemurium,GCF_002291465.1
Mycobacterium,lepromatosis,GCF_000966355.1
Mycobacterium,liflandii,GCF_000026445.2
Mycobacterium,malmoense,GCF_002086305.1
Mycobacterium,mantenii,GCF_002086335.1
Mycobacterium,marinum,GCF_000723425.2
Mycobacterium,marseillense,GCF_002285715.1
Mycobacterium,montefiorense,GCF_003112775.1
Mycobacterium,mungi,GCF_001652545.1
Mycobacterium,nebraskense,GCF_002102255.1
Mycobacterium,neumannii,GCF_002245615.1
Mycobacterium,noviomagense,GCF_002086415.1
Mycobacterium,orygis,GCF_006385035.1
Mycobacterium,palustre,GCF_002101785.1
Mycobacterium,paraense,GCF_002101815.1
Mycobacterium,paraffinicum,GCF_001907675.1
Mycobacterium,paragordonae,GCF_003614435.1
Mycobacterium,paraintracellulare,GCF_000276825.1
Mycobacterium,parascrofulaceum,GCF_000164135.1
Mycobacterium,paraseoulense,GCF_002086475.1
Mycobacterium,parmense,GCF_002102335.1
Mycobacterium,persicum,GCF_002086675.1
Mycobacterium,pseudokansasii,GCF_900566075.1
Mycobacterium,pseudoshottsii,GCF_003584745.1
Mycobacterium,riyadhense,GCF_002101845.1
Mycobacterium,saskatchewanense,GCF_002101875.1
Mycobacterium,scrofulaceum,GCF_002086735.1
Mycobacterium,sherrisii,GCF_002102355.1
Mycobacterium,shigaense,GCF_002356315.1
Mycobacterium,shimoidei,GCF_002101905.1
Mycobacterium,shinjukuense,GCF_002086755.1
Mycobacterium,simiae,GCF_002093075.1
Mycobacterium,sp,GCF_000328565.1
Mycobacterium,syngnathidarum,GCF_001942625.1
Mycobacterium,szulgai,GCF_002116635.1
Mycobacterium,talmoniae,GCF_002967005.1
Mycobacterium,tilburgii,GCF_902168065.1
Mycobacterium,timonense,GCF_002086775.1
Mycobacterium,triplex,GCF_000689255.1
Mycobacterium,tuberculosis,GCF_000195955.2
Mycobacterium,uberis,GCF_003408705.1
Mycobacterium,ulcerans,GCF_000013925.1
Mycobacterium,vulneris,GCF_002104765.1
Mycobacterium,xenopi,GCF_002102015.1
